stock_date,open,high,low,close,adjclose,volume,prev_1day_mean_score,prev_1day_news_count,prev_1day_mean_numeric
2015-08-03,0.502749979,0.507749975,0.496250004,0.507250011,0.491197467,397132000,0.0,0.0,0.0
2015-08-04,0.505500019,0.510749996,0.503499985,0.509249985,0.493134081,260100000,0.0,0.0,0.0
2015-08-05,0.521749973,0.522249997,0.513499975,0.514500022,0.49821803,234628000,0.0,0.0,0.0
2015-08-06,0.513249993,0.51700002,0.502749979,0.511250019,0.495071024,655676000,0.0,0.0,0.0
2015-08-07,0.561500013,0.584249973,0.546999991,0.574500024,0.556319475,1405248000,0.0,0.0,0.0
2015-08-10,0.570500016,0.598749995,0.566999972,0.594500005,0.575686574,662304000,0.0,0.0,0.0
2015-08-11,0.585749984,0.597249985,0.585749984,0.591499984,0.572781146,435008000,0.0,0.0,0.0
2015-08-12,0.582000017,0.597249985,0.582000017,0.592999995,0.57423389,384048000,0.0,0.0,0.0
2015-08-13,0.59375,0.595000029,0.586499989,0.588,0.569391966,276884000,0.0,0.0,0.0
2015-08-14,0.587499976,0.592000008,0.583999991,0.588500023,0.569876313,214652000,0.0,0.0,0.0
2015-08-17,0.587499976,0.587499976,0.577499986,0.584749997,0.56624496,273880000,0.0,0.0,0.0
2015-08-18,0.580500007,0.584500015,0.57249999,0.577000022,0.561091304,287084000,0.0,0.0,0.0
2015-08-19,0.576250017,0.582750022,0.568499982,0.574750006,0.558903337,249248000,0.0,0.0,0.0
2015-08-20,0.56825,0.57099998,0.551249981,0.55400002,0.538725138,426932000,0.0,0.0,0.0
2015-08-21,0.550000012,0.559249997,0.536249995,0.536750019,0.521950841,382664000,0.0,0.0,0.0
2015-08-24,0.506749988,0.545750022,0.5,0.517750025,0.503474712,682284000,0.0,0.0,0.0
2015-08-25,0.540499985,0.542500019,0.507000029,0.507000029,0.49302122,622684000,0.0,0.0,0.0
2015-08-26,0.523500025,0.545750022,0.519500017,0.545249999,0.530216455,614976000,0.0,0.0,0.0
2015-08-27,0.550999999,0.565999985,0.547749996,0.565750003,0.550151169,463764000,0.0,0.0,0.0
2015-08-28,0.565750003,0.571749985,0.561749995,0.56825,0.552582324,320944000,0.0,0.0,0.0
2015-08-31,0.565500021,0.569500029,0.559750021,0.561999977,0.546504557,219352000,0.0,0.0,0.0
